Configuration,Rule Source,Sarif Identifier,Alerts
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/predictable-seed,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/redos,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/regex-injection,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/rsa-without-oaep,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/sensitive-cookie-not-httponly,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/server-side-template-injection,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/spel-expression-injection,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/spring-boot-exposed-actuators,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/spring-boot-exposed-actuators-config,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/spring-disabled-csrf-protection,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/sql-injection,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/ssrf,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/stack-trace-exposure,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/static-initialization-vector,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/summary/lines-of-code,0
